Perkembangan Harga Pangan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Periode,,02 Januari 2020 - 19 Jun 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provinsi,,DKI Jakarta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kabupaten/Kota,,Kota Jakarta Pusat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasar,,"Pasar Jatinegara, Pasar Kramatjati, Pasar Minggu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tipe Laporan,,Laporan Harian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,Komoditas(Rp),02/01/2020,03/01/2020,06/01/2020,07/01/2020,08/01/2020,09/01/2020,10/01/2020,13/01/2020,14/01/2020,15/01/2020,16/01/2020,17/01/2020,20/01/2020,21/01/2020,22/01/2020,23/01/2020,24/01/2020,27/01/2020,28/01/2020,29/01/2020,30/01/2020,31/01/2020,03/02/2020,04/02/2020,05/02/2020,06/02/2020,07/02/2020,10/02/2020,11/02/2020,12/02/2020,13/02/2020,14/02/2020,17/02/2020,18/02/2020,19/02/2020,20/02/2020,21/02/2020,24/02/2020,25/02/2020,26/02/2020,27/02/2020,28/02/2020,02/03/2020,03/03/2020,04/03/2020,05/03/2020,06/03/2020,09/03/2020,10/03/2020,11/03/2020,12/03/2020,13/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,23/03/2020,24/03/2020,26/03/2020,27/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,06/04/2020,07/04/2020,08/04/2020,09/04/2020,13/04/2020,14/04/2020,15/04/2020,16/04/2020,17/04/2020,20/04/2020,21/04/2020,22/04/2020,23/04/2020,24/04/2020,27/04/2020,28/04/2020,29/04/2020,30/04/2020,04/05/2020,05/05/2020,06/05/2020,08/05/2020,11/05/2020,12/05/2020,13/05/2020,14/05/2020,15/05/2020,18/05/2020,19/05/2020,20/05/2020,26/05/2020,27/05/2020,28/05/2020,29/05/2020,02/06/2020,03/06/2020,04/06/2020,05/06/2020,08/06/2020,09/06/2020,10/06/2020,11/06/2020,12/06/2020,15/06/2020,16/06/2020,17/06/2020,18/06/2020,19/06/2020
I,Beras," Rp12,750 "," Rp12,850 "," Rp13,000 "," Rp13,050 "," Rp13,050 "," Rp13,050 "," Rp13,050 "," Rp13,050 "," Rp13,050 "," Rp13,100 "," Rp13,100 "," Rp13,100 "," Rp13,100 "," Rp13,100 "," Rp13,100 "," Rp13,100 "," Rp13,100 "," Rp13,100 "," Rp13,100 "," Rp13,100 "," Rp13,100 "," Rp13,100 "," Rp13,100 "," Rp13,100 "," Rp13,100 "," Rp13,100 "," Rp13,150 "," Rp13,150 "," Rp13,200 "," Rp13,200 "," Rp13,200 "," Rp13,200 "," Rp13,200 "," Rp13,200 "," Rp13,200 "," Rp13,200 "," Rp13,200 "," Rp13,200 "," Rp13,200 "," Rp13,200 "," Rp13,200 "," Rp13,200 "," Rp13,200 "," Rp13,200 "," Rp13,250 "," Rp13,300 "," Rp13,300 "," Rp13,300 "," Rp13,300 "," Rp13,300 "," Rp13,300 "," Rp13,300 "," Rp13,300 "," Rp13,300 "," Rp13,300 "," Rp13,300 "," Rp13,300 "," Rp13,300 "," Rp13,350 "," Rp13,450 "," Rp13,450 "," Rp13,450 "," Rp13,450 "," Rp13,450 "," Rp13,450 "," Rp13,450 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "
1,Beras Kualitas Bawah I (kg)," Rp11,550 "," Rp11,650 "," Rp11,850 "," Rp11,900 "," Rp11,900 "," Rp11,950 "," Rp11,950 "," Rp11,950 "," Rp11,950 "," Rp11,950 "," Rp11,950 "," Rp11,950 "," Rp11,950 "," Rp11,950 "," Rp11,950 "," Rp11,950 "," Rp11,950 "," Rp11,950 "," Rp11,950 "," Rp11,950 "," Rp11,950 "," Rp11,950 "," Rp11,950 "," Rp11,950 "," Rp11,950 "," Rp12,000 "," Rp12,050 "," Rp12,050 "," Rp12,050 "," Rp12,050 "," Rp12,050 "," Rp12,050 "," Rp12,050 "," Rp12,050 "," Rp12,050 "," Rp12,050 "," Rp11,950 "," Rp12,000 "," Rp12,000 "," Rp12,000 "," Rp12,000 "," Rp12,000 "," Rp12,000 "," Rp12,000 "," Rp12,050 "," Rp12,150 "," Rp12,150 "," Rp12,150 "," Rp12,150 "," Rp12,150 "," Rp12,150 "," Rp12,150 "," Rp12,150 "," Rp12,150 "," Rp12,150 "," Rp12,150 "," Rp12,150 "," Rp12,150 "," Rp12,150 "," Rp12,150 "," Rp12,150 "," Rp12,150 "," Rp12,150 "," Rp12,150 "," Rp12,150 "," Rp12,150 "," Rp12,250 "," Rp12,250 "," Rp12,250 "," Rp12,250 "," Rp12,250 "," Rp12,250 "," Rp12,250 "," Rp12,250 "," Rp12,250 "," Rp12,250 "," Rp12,250 "," Rp12,300 "," Rp12,300 "," Rp12,300 "," Rp12,300 "," Rp12,300 "," Rp12,300 "," Rp12,300 "," Rp12,300 "," Rp12,300 "," Rp12,300 "," Rp12,300 "," Rp12,300 "," Rp12,200 "," Rp12,200 "," Rp12,200 "," Rp12,200 "," Rp12,200 "," Rp12,200 "," Rp12,200 "," Rp12,200 "," Rp12,200 "," Rp12,200 "," Rp12,200 "," Rp12,200 "," Rp12,200 "," Rp12,200 "," Rp12,200 "," Rp12,200 "," Rp12,200 "," Rp12,200 "," Rp12,200 "," Rp12,200 "," Rp12,200 "," Rp12,200 "," Rp12,200 "," Rp12,200 "," Rp12,200 "
2,Beras Kualitas Bawah II (kg)," Rp10,750 "," Rp10,850 "," Rp11,050 "," Rp11,050 "," Rp11,050 "," Rp11,100 "," Rp11,100 "," Rp11,100 "," Rp11,100 "," Rp11,150 "," Rp11,150 "," Rp11,150 "," Rp11,150 "," Rp11,150 "," Rp11,150 "," Rp11,150 "," Rp11,150 "," Rp11,150 "," Rp11,150 "," Rp11,150 "," Rp11,150 "," Rp11,150 "," Rp11,150 "," Rp11,150 "," Rp11,150 "," Rp11,150 "," Rp11,200 "," Rp11,200 "," Rp11,200 "," Rp11,200 "," Rp11,200 "," Rp11,200 "," Rp11,200 "," Rp11,200 "," Rp11,200 "," Rp11,250 "," Rp11,250 "," Rp11,250 "," Rp11,250 "," Rp11,250 "," Rp11,250 "," Rp11,250 "," Rp11,250 "," Rp11,250 "," Rp11,300 "," Rp11,350 "," Rp11,350 "," Rp11,350 "," Rp11,350 "," Rp11,350 "," Rp11,350 "," Rp11,350 "," Rp11,350 "," Rp11,350 "," Rp11,350 "," Rp11,350 "," Rp11,350 "," Rp11,350 "," Rp11,350 "," Rp11,350 "," Rp11,350 "," Rp11,350 "," Rp11,350 "," Rp11,350 "," Rp11,350 "," Rp11,350 "," Rp11,450 "," Rp11,450 "," Rp11,450 "," Rp11,450 "," Rp11,450 "," Rp11,450 "," Rp11,450 "," Rp11,450 "," Rp11,450 "," Rp11,450 "," Rp11,450 "," Rp11,500 "," Rp11,500 "," Rp11,500 "," Rp11,500 "," Rp11,500 "," Rp11,500 "," Rp11,500 "," Rp11,500 "," Rp11,500 "," Rp11,500 "," Rp11,500 "," Rp11,500 "," Rp11,400 "," Rp11,400 "," Rp11,400 "," Rp11,400 "," Rp11,400 "," Rp11,400 "," Rp11,400 "," Rp11,400 "," Rp11,400 "," Rp11,400 "," Rp11,400 "," Rp11,400 "," Rp11,400 "," Rp11,400 "," Rp11,400 "," Rp11,400 "," Rp11,400 "," Rp11,400 "," Rp11,400 "," Rp11,400 "," Rp11,400 "," Rp11,400 "," Rp11,400 "," Rp11,400 "," Rp11,400 "
3,Beras Kualitas Medium I (kg)," Rp13,050 "," Rp13,100 "," Rp13,300 "," Rp13,300 "," Rp13,300 "," Rp13,350 "," Rp13,350 "," Rp13,350 "," Rp13,350 "," Rp13,400 "," Rp13,400 "," Rp13,400 "," Rp13,400 "," Rp13,400 "," Rp13,400 "," Rp13,400 "," Rp13,400 "," Rp13,400 "," Rp13,400 "," Rp13,400 "," Rp13,400 "," Rp13,400 "," Rp13,400 "," Rp13,400 "," Rp13,400 "," Rp13,400 "," Rp13,450 "," Rp13,450 "," Rp13,450 "," Rp13,450 "," Rp13,450 "," Rp13,450 "," Rp13,450 "," Rp13,450 "," Rp13,450 "," Rp13,450 "," Rp13,450 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,500 "," Rp13,550 "," Rp13,550 "," Rp13,550 "," Rp13,550 "," Rp13,550 "," Rp13,550 "," Rp13,550 "," Rp13,550 "," Rp13,550 "," Rp13,550 "," Rp13,550 "," Rp13,550 "," Rp13,550 "," Rp13,550 "," Rp13,650 "," Rp13,800 "," Rp13,800 "," Rp13,800 "," Rp13,800 "," Rp13,800 "," Rp13,800 "," Rp13,800 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "
4,Beras Kualitas Medium II (kg)," Rp12,050 "," Rp12,150 "," Rp12,300 "," Rp12,350 "," Rp12,350 "," Rp12,400 "," Rp12,400 "," Rp12,400 "," Rp12,400 "," Rp12,400 "," Rp12,400 "," Rp12,400 "," Rp12,400 "," Rp12,400 "," Rp12,400 "," Rp12,400 "," Rp12,400 "," Rp12,400 "," Rp12,400 "," Rp12,400 "," Rp12,400 "," Rp12,400 "," Rp12,400 "," Rp12,400 "," Rp12,400 "," Rp12,450 "," Rp12,450 "," Rp12,450 "," Rp12,450 "," Rp12,450 "," Rp12,450 "," Rp12,450 "," Rp12,450 "," Rp12,450 "," Rp12,500 "," Rp12,500 "," Rp12,500 "," Rp12,500 "," Rp12,500 "," Rp12,500 "," Rp12,500 "," Rp12,500 "," Rp12,500 "," Rp12,500 "," Rp12,550 "," Rp12,550 "," Rp12,550 "," Rp12,550 "," Rp12,550 "," Rp12,550 "," Rp12,550 "," Rp12,550 "," Rp12,550 "," Rp12,550 "," Rp12,550 "," Rp12,550 "," Rp12,550 "," Rp12,550 "," Rp12,650 "," Rp12,750 "," Rp12,750 "," Rp12,750 "," Rp12,750 "," Rp12,750 "," Rp12,750 "," Rp12,750 "," Rp12,850 "," Rp12,850 "," Rp12,850 "," Rp12,850 "," Rp12,850 "," Rp12,850 "," Rp12,850 "," Rp12,850 "," Rp12,850 "," Rp12,850 "," Rp12,850 "," Rp12,800 "," Rp12,800 "," Rp12,800 "," Rp12,800 "," Rp12,800 "," Rp12,800 "," Rp12,800 "," Rp12,800 "," Rp12,800 "," Rp12,800 "," Rp12,800 "," Rp12,800 "," Rp12,800 "," Rp12,800 "," Rp12,800 "," Rp12,800 "," Rp12,800 "," Rp12,800 "," Rp12,800 "," Rp12,800 "," Rp12,800 "," Rp12,800 "," Rp12,800 "," Rp12,800 "," Rp12,800 "," Rp12,800 "," Rp12,800 "," Rp12,800 "," Rp12,800 "," Rp12,800 "," Rp12,800 "," Rp12,800 "," Rp12,800 "," Rp12,800 "," Rp12,800 "," Rp12,800 "," Rp12,800 "
5,Beras Kualitas Super I (kg)," Rp15,450 "," Rp15,550 "," Rp15,700 "," Rp15,750 "," Rp15,750 "," Rp15,800 "," Rp15,800 "," Rp15,800 "," Rp15,800 "," Rp15,800 "," Rp15,800 "," Rp15,800 "," Rp15,800 "," Rp15,800 "," Rp15,800 "," Rp15,800 "," Rp15,800 "," Rp15,800 "," Rp15,800 "," Rp15,800 "," Rp15,800 "," Rp15,800 "," Rp15,800 "," Rp15,800 "," Rp15,800 "," Rp15,850 "," Rp15,850 "," Rp15,850 "," Rp15,950 "," Rp15,950 "," Rp15,950 "," Rp15,950 "," Rp15,950 "," Rp15,950 "," Rp15,950 "," Rp16,000 "," Rp16,000 "," Rp16,000 "," Rp16,000 "," Rp16,000 "," Rp16,000 "," Rp16,000 "," Rp16,000 "," Rp16,000 "," Rp16,050 "," Rp16,100 "," Rp16,100 "," Rp16,100 "," Rp16,100 "," Rp16,100 "," Rp16,100 "," Rp16,100 "," Rp16,100 "," Rp16,100 "," Rp16,100 "," Rp16,100 "," Rp16,100 "," Rp16,100 "," Rp16,150 "," Rp16,200 "," Rp16,200 "," Rp16,200 "," Rp16,200 "," Rp16,200 "," Rp16,200 "," Rp16,200 "," Rp16,300 "," Rp16,300 "," Rp16,300 "," Rp16,300 "," Rp16,300 "," Rp16,300 "," Rp16,300 "," Rp16,300 "," Rp16,300 "," Rp16,300 "," Rp16,300 "," Rp16,300 "," Rp16,300 "," Rp16,300 "," Rp16,300 "," Rp16,300 "," Rp16,300 "," Rp16,300 "," Rp16,300 "," Rp16,300 "," Rp16,300 "," Rp16,300 "," Rp16,300 "," Rp16,300 "," Rp16,300 "," Rp16,300 "," Rp16,300 "," Rp16,300 "," Rp16,300 "," Rp16,300 "," Rp16,300 "," Rp16,300 "," Rp16,300 "," Rp16,300 "," Rp16,300 "," Rp16,300 "," Rp16,300 "," Rp16,300 "," Rp16,300 "," Rp16,300 "," Rp16,300 "," Rp16,300 "," Rp16,300 "," Rp16,300 "," Rp16,300 "," Rp16,300 "," Rp16,300 "," Rp16,300 "
6,Beras Kualitas Super II (kg)," Rp13,650 "," Rp13,700 "," Rp13,850 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,950 "," Rp13,950 "," Rp13,950 "," Rp13,950 "," Rp13,950 "," Rp13,950 "," Rp13,950 "," Rp13,950 "," Rp13,950 "," Rp13,950 "," Rp13,950 "," Rp13,950 "," Rp13,950 "," Rp13,950 "," Rp13,950 "," Rp13,950 "," Rp13,950 "," Rp13,950 "," Rp13,950 "," Rp14,050 "," Rp14,050 "," Rp14,050 "," Rp14,050 "," Rp14,050 "," Rp14,050 "," Rp14,050 "," Rp14,100 "," Rp14,100 "," Rp14,100 "," Rp14,100 "," Rp14,100 "," Rp14,100 "," Rp14,100 "," Rp14,100 "," Rp14,100 "," Rp14,100 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,250 "," Rp14,250 "," Rp14,250 "," Rp14,250 "," Rp14,250 "," Rp14,250 "," Rp14,250 "," Rp14,250 "," Rp14,300 "," Rp14,300 "," Rp14,300 "," Rp14,300 "," Rp14,300 "," Rp14,300 "," Rp14,300 "," Rp14,300 "," Rp14,300 "," Rp14,300 "," Rp14,300 "," Rp14,300 "," Rp14,300 "," Rp14,300 "," Rp14,300 "," Rp14,300 "," Rp14,300 "," Rp14,300 "," Rp14,300 "," Rp14,300 "," Rp14,300 "," Rp14,300 "," Rp14,300 "," Rp14,300 "," Rp14,300 "," Rp14,300 "," Rp14,300 "," Rp14,300 "," Rp14,300 "," Rp14,300 "," Rp14,300 "," Rp14,300 "," Rp14,300 "," Rp14,300 "," Rp14,300 "," Rp14,300 "," Rp14,300 "," Rp14,300 "," Rp14,300 "," Rp14,300 "," Rp14,300 "," Rp14,300 "," Rp14,300 "," Rp14,300 "," Rp14,300 "," Rp14,300 "," Rp14,300 "," Rp14,300 "
II,Daging Ayam," Rp38,000 "," Rp38,000 "," Rp36,850 "," Rp36,250 "," Rp35,900 "," Rp35,350 "," Rp35,350 "," Rp34,900 "," Rp34,900 "," Rp34,750 "," Rp34,750 "," Rp34,400 "," Rp34,000 "," Rp34,000 "," Rp33,650 "," Rp33,350 "," Rp34,100 "," Rp33,650 "," Rp34,000 "," Rp34,000 "," Rp34,000 "," Rp34,000 "," Rp34,350 "," Rp34,400 "," Rp34,400 "," Rp34,850 "," Rp34,850 "," Rp35,100 "," Rp35,650 "," Rp36,000 "," Rp36,600 "," Rp37,150 "," Rp37,400 "," Rp37,400 "," Rp37,600 "," Rp37,900 "," Rp37,750 "," Rp37,250 "," Rp37,250 "," Rp37,100 "," Rp37,100 "," Rp36,500 "," Rp36,500 "," Rp36,850 "," Rp36,900 "," Rp36,900 "," Rp36,600 "," Rp36,600 "," Rp36,600 "," Rp36,900 "," Rp36,900 "," Rp37,100 "," Rp37,100 "," Rp36,900 "," Rp36,600 "," Rp36,600 "," Rp36,400 "," Rp35,400 "," Rp35,250 "," Rp35,250 "," Rp35,100 "," Rp35,250 "," Rp35,100 "," Rp34,250 "," Rp34,250 "," Rp34,250 "," Rp32,750 "," Rp33,750 "," Rp33,600 "," Rp34,750 "," Rp34,100 "," Rp33,650 "," Rp32,400 "," Rp32,100 "," Rp32,100 "," Rp32,000 "," Rp32,000 "," Rp32,850 "," Rp33,150 "," Rp33,150 "," Rp31,850 "," Rp31,850 "," Rp31,850 "," Rp32,100 "," Rp34,100 "," Rp34,750 "," Rp34,750 "," Rp35,100 "," Rp36,100 "," Rp36,750 "," Rp37,750 "," Rp37,900 "," Rp38,350 "," Rp39,100 "," Rp39,350 "," Rp39,350 "," Rp39,650 "," Rp39,650 "," Rp39,850 "," Rp40,350 "," Rp40,500 "," Rp40,850 "," Rp41,500 "," Rp41,500 "," Rp42,350 "," Rp42,350 "," Rp42,350 "," Rp42,350 "," Rp42,350 "," Rp42,350 "," Rp42,350 "," Rp41,500 "," Rp41,250 "," Rp41,250 "
1,Daging Ayam Ras Segar (kg)," Rp38,000 "," Rp38,000 "," Rp36,850 "," Rp36,250 "," Rp35,900 "," Rp35,350 "," Rp35,350 "," Rp34,900 "," Rp34,900 "," Rp34,750 "," Rp34,750 "," Rp34,400 "," Rp34,000 "," Rp34,000 "," Rp33,650 "," Rp33,350 "," Rp34,100 "," Rp33,650 "," Rp34,000 "," Rp34,000 "," Rp34,000 "," Rp34,000 "," Rp34,350 "," Rp34,400 "," Rp34,400 "," Rp34,850 "," Rp34,850 "," Rp35,100 "," Rp35,650 "," Rp36,000 "," Rp36,600 "," Rp37,150 "," Rp37,400 "," Rp37,400 "," Rp37,600 "," Rp37,900 "," Rp37,750 "," Rp37,250 "," Rp37,250 "," Rp37,100 "," Rp37,100 "," Rp36,500 "," Rp36,500 "," Rp36,850 "," Rp36,900 "," Rp36,900 "," Rp36,600 "," Rp36,600 "," Rp36,600 "," Rp36,900 "," Rp36,900 "," Rp37,100 "," Rp37,100 "," Rp36,900 "," Rp36,600 "," Rp36,600 "," Rp36,400 "," Rp35,400 "," Rp35,250 "," Rp35,250 "," Rp35,100 "," Rp35,250 "," Rp35,100 "," Rp34,250 "," Rp34,250 "," Rp34,250 "," Rp32,750 "," Rp33,750 "," Rp33,600 "," Rp34,750 "," Rp34,100 "," Rp33,650 "," Rp32,400 "," Rp32,100 "," Rp32,100 "," Rp32,000 "," Rp32,000 "," Rp32,850 "," Rp33,150 "," Rp33,150 "," Rp31,850 "," Rp31,850 "," Rp31,850 "," Rp32,100 "," Rp34,100 "," Rp34,750 "," Rp34,750 "," Rp35,100 "," Rp36,100 "," Rp36,750 "," Rp37,750 "," Rp37,900 "," Rp38,350 "," Rp39,100 "," Rp39,350 "," Rp39,350 "," Rp39,650 "," Rp39,650 "," Rp39,850 "," Rp40,350 "," Rp40,500 "," Rp40,850 "," Rp41,500 "," Rp41,500 "," Rp42,350 "," Rp42,350 "," Rp42,350 "," Rp42,350 "," Rp42,350 "," Rp42,350 "," Rp42,350 "," Rp41,500 "," Rp41,250 "," Rp41,250 "
