Perkembangan Harga Pangan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III,Daging Sapi," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp126,650 "," Rp137,500 "," Rp137,500 "," Rp137,500 "," Rp137,500 "," Rp137,500 "," Rp137,500 "," Rp137,500 "," Rp134,150 "," Rp132,500 "," Rp130,850 "," Rp130,850 "," Rp130,000 "," Rp130,000 "," Rp130,000 "," Rp130,000 "," Rp130,000 "," Rp130,000 "," Rp130,000 "," Rp130,000 "," Rp130,000 "," Rp130,000 "
1,Daging Sapi Kualitas 1 (kg)," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp133,350 "," Rp143,350 "," Rp143,350 "," Rp143,350 "," Rp143,350 "," Rp143,350 "," Rp143,350 "," Rp143,350 "," Rp140,000 "," Rp138,350 "," Rp136,650 "," Rp136,650 "," Rp136,650 "," Rp136,650 "," Rp136,650 "," Rp136,650 "," Rp136,650 "," Rp136,650 "," Rp136,650 "," Rp136,650 "," Rp136,650 "," Rp136,650 "
2,Daging Sapi Kualitas 2 (kg)," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp120,000 "," Rp131,650 "," Rp131,650 "," Rp131,650 "," Rp131,650 "," Rp131,650 "," Rp131,650 "," Rp131,650 "," Rp128,350 "," Rp126,650 "," Rp125,000 "," Rp125,000 "," Rp123,350 "," Rp123,350 "," Rp123,350 "," Rp123,350 "," Rp123,350 "," Rp123,350 "," Rp123,350 "," Rp123,350 "," Rp123,350 "," Rp123,350 "
IV,Telur Ayam," Rp25,350 "," Rp25,350 "," Rp25,150 "," Rp25,150 "," Rp24,850 "," Rp24,650 "," Rp24,650 "," Rp24,500 "," Rp24,500 "," Rp24,650 "," Rp24,650 "," Rp24,650 "," Rp24,650 "," Rp24,500 "," Rp24,350 "," Rp23,850 "," Rp23,650 "," Rp23,500 "," Rp23,150 "," Rp23,150 "," Rp23,150 "," Rp23,150 "," Rp23,000 "," Rp23,000 "," Rp23,350 "," Rp23,350 "," Rp23,350 "," Rp23,650 "," Rp24,350 "," Rp24,500 "," Rp25,500 "," Rp25,850 "," Rp27,000 "," Rp27,000 "," Rp26,850 "," Rp27,000 "," Rp27,000 "," Rp27,000 "," Rp27,000 "," Rp27,000 "," Rp27,000 "," Rp27,000 "," Rp27,000 "," Rp26,850 "," Rp26,850 "," Rp26,850 "," Rp26,850 "," Rp27,000 "," Rp27,150 "," Rp27,150 "," Rp27,150 "," Rp27,000 "," Rp26,150 "," Rp26,150 "," Rp26,150 "," Rp26,350 "," Rp26,350 "," Rp26,350 "," Rp26,350 "," Rp26,350 "," Rp26,350 "," Rp26,350 "," Rp26,150 "," Rp26,000 "," Rp25,650 "," Rp25,500 "," Rp25,500 "," Rp25,150 "," Rp25,150 "," Rp25,000 "," Rp25,150 "," Rp25,150 "," Rp25,150 "," Rp25,150 "," Rp25,150 "," Rp24,850 "," Rp24,650 "," Rp24,650 "," Rp24,650 "," Rp24,850 "," Rp24,350 "," Rp24,150 "," Rp24,150 "," Rp23,500 "," Rp22,350 "," Rp21,350 "," Rp21,000 "," Rp20,850 "," Rp20,650 "," Rp20,650 "," Rp20,650 "," Rp20,650 "," Rp20,650 "," Rp20,500 "," Rp20,850 "," Rp22,350 "," Rp23,850 "," Rp23,650 "," Rp24,000 "," Rp24,000 "," Rp24,000 "," Rp23,850 "," Rp23,850 "," Rp23,850 "," Rp23,850 "," Rp24,000 "," Rp24,150 "," Rp24,350 "," Rp24,350 "," Rp24,850 "," Rp25,150 "," Rp25,350 "," Rp25,650 "," Rp25,650 "
1,"Telur Ayam Ras Segar
 (kg)"," Rp25,350 "," Rp25,350 "," Rp25,150 "," Rp25,150 "," Rp24,850 "," Rp24,650 "," Rp24,650 "," Rp24,500 "," Rp24,500 "," Rp24,650 "," Rp24,650 "," Rp24,650 "," Rp24,650 "," Rp24,500 "," Rp24,350 "," Rp23,850 "," Rp23,650 "," Rp23,500 "," Rp23,150 "," Rp23,150 "," Rp23,150 "," Rp23,150 "," Rp23,000 "," Rp23,000 "," Rp23,350 "," Rp23,350 "," Rp23,350 "," Rp23,650 "," Rp24,350 "," Rp24,500 "," Rp25,500 "," Rp25,850 "," Rp27,000 "," Rp27,000 "," Rp26,850 "," Rp27,000 "," Rp27,000 "," Rp27,000 "," Rp27,000 "," Rp27,000 "," Rp27,000 "," Rp27,000 "," Rp27,000 "," Rp26,850 "," Rp26,850 "," Rp26,850 "," Rp26,850 "," Rp27,000 "," Rp27,150 "," Rp27,150 "," Rp27,150 "," Rp27,000 "," Rp26,150 "," Rp26,150 "," Rp26,150 "," Rp26,350 "," Rp26,350 "," Rp26,350 "," Rp26,350 "," Rp26,350 "," Rp26,350 "," Rp26,350 "," Rp26,150 "," Rp26,000 "," Rp25,650 "," Rp25,500 "," Rp25,500 "," Rp25,150 "," Rp25,150 "," Rp25,000 "," Rp25,150 "," Rp25,150 "," Rp25,150 "," Rp25,150 "," Rp25,150 "," Rp24,850 "," Rp24,650 "," Rp24,650 "," Rp24,650 "," Rp24,850 "," Rp24,350 "," Rp24,150 "," Rp24,150 "," Rp23,500 "," Rp22,350 "," Rp21,350 "," Rp21,000 "," Rp20,850 "," Rp20,650 "," Rp20,650 "," Rp20,650 "," Rp20,650 "," Rp20,650 "," Rp20,500 "," Rp20,850 "," Rp22,350 "," Rp23,850 "," Rp23,650 "," Rp24,000 "," Rp24,000 "," Rp24,000 "," Rp23,850 "," Rp23,850 "," Rp23,850 "," Rp23,850 "," Rp24,000 "," Rp24,150 "," Rp24,350 "," Rp24,350 "," Rp24,850 "," Rp25,150 "," Rp25,350 "," Rp25,650 "," Rp25,650 "
V,Bawang Merah," Rp46,650 "," Rp46,650 "," Rp44,150 "," Rp41,650 "," Rp41,650 "," Rp41,650 "," Rp41,650 "," Rp40,000 "," Rp40,850 "," Rp39,150 "," Rp39,150 "," Rp39,150 "," Rp38,350 "," Rp39,150 "," Rp39,150 "," Rp40,000 "," Rp40,000 "," Rp38,350 "," Rp37,500 "," Rp37,500 "," Rp37,500 "," Rp37,500 "," Rp37,500 "," Rp37,500 "," Rp37,500 "," Rp37,500 "," Rp37,500 "," Rp36,650 "," Rp36,650 "," Rp36,650 "," Rp36,650 "," Rp36,650 "," Rp36,650 "," Rp36,650 "," Rp37,500 "," Rp37,500 "," Rp38,350 "," Rp37,500 "," Rp36,650 "," Rp37,000 "," Rp37,850 "," Rp37,850 "," Rp38,350 "," Rp38,350 "," Rp38,350 "," Rp38,350 "," Rp38,850 "," Rp38,850 "," Rp38,850 "," Rp38,850 "," Rp38,850 "," Rp38,850 "," Rp40,000 "," Rp40,000 "," Rp40,000 "," Rp40,000 "," Rp40,000 "," Rp45,850 "," Rp45,850 "," Rp47,500 "," Rp47,500 "," Rp47,500 "," Rp47,500 "," Rp47,500 "," Rp47,500 "," Rp47,500 "," Rp51,650 "," Rp51,650 "," Rp53,350 "," Rp56,650 "," Rp58,350 "," Rp58,350 "," Rp58,350 "," Rp59,150 "," Rp58,350 "," Rp58,350 "," Rp58,350 "," Rp57,500 "," Rp56,650 "," Rp56,650 "," Rp57,500 "," Rp56,650 "," Rp56,650 "," Rp56,650 "," Rp57,500 "," Rp55,000 "," Rp55,000 "," Rp54,150 "," Rp58,350 "," Rp58,350 "," Rp58,350 "," Rp58,350 "," Rp57,500 "," Rp55,850 "," Rp58,350 "," Rp59,150 "," Rp65,000 "," Rp65,000 "," Rp66,650 "," Rp66,650 "," Rp62,500 "," Rp62,500 "," Rp62,500 "," Rp62,500 "," Rp60,000 "," Rp60,000 "," Rp60,000 "," Rp56,650 "," Rp56,650 "," Rp55,000 "," Rp55,000 "," Rp55,000 "," Rp54,150 "," Rp54,150 "
1,Bawang Merah Ukuran Sedang (kg)," Rp46,650 "," Rp46,650 "," Rp44,150 "," Rp41,650 "," Rp41,650 "," Rp41,650 "," Rp41,650 "," Rp40,000 "," Rp40,850 "," Rp39,150 "," Rp39,150 "," Rp39,150 "," Rp38,350 "," Rp39,150 "," Rp39,150 "," Rp40,000 "," Rp40,000 "," Rp38,350 "," Rp37,500 "," Rp37,500 "," Rp37,500 "," Rp37,500 "," Rp37,500 "," Rp37,500 "," Rp37,500 "," Rp37,500 "," Rp37,500 "," Rp36,650 "," Rp36,650 "," Rp36,650 "," Rp36,650 "," Rp36,650 "," Rp36,650 "," Rp36,650 "," Rp37,500 "," Rp37,500 "," Rp38,350 "," Rp37,500 "," Rp36,650 "," Rp37,000 "," Rp37,850 "," Rp37,850 "," Rp38,350 "," Rp38,350 "," Rp38,350 "," Rp38,350 "," Rp38,850 "," Rp38,850 "," Rp38,850 "," Rp38,850 "," Rp38,850 "," Rp38,850 "," Rp40,000 "," Rp40,000 "," Rp40,000 "," Rp40,000 "," Rp40,000 "," Rp45,850 "," Rp45,850 "," Rp47,500 "," Rp47,500 "," Rp47,500 "," Rp47,500 "," Rp47,500 "," Rp47,500 "," Rp47,500 "," Rp51,650 "," Rp51,650 "," Rp53,350 "," Rp56,650 "," Rp58,350 "," Rp58,350 "," Rp58,350 "," Rp59,150 "," Rp58,350 "," Rp58,350 "," Rp58,350 "," Rp57,500 "," Rp56,650 "," Rp56,650 "," Rp57,500 "," Rp56,650 "," Rp56,650 "," Rp56,650 "," Rp57,500 "," Rp55,000 "," Rp55,000 "," Rp54,150 "," Rp58,350 "," Rp58,350 "," Rp58,350 "," Rp58,350 "," Rp57,500 "," Rp55,850 "," Rp58,350 "," Rp59,150 "," Rp65,000 "," Rp65,000 "," Rp66,650 "," Rp66,650 "," Rp62,500 "," Rp62,500 "," Rp62,500 "," Rp62,500 "," Rp60,000 "," Rp60,000 "," Rp60,000 "," Rp56,650 "," Rp56,650 "," Rp55,000 "," Rp55,000 "," Rp55,000 "," Rp54,150 "," Rp54,150 "
VI,Bawang Putih," Rp39,650 "," Rp39,650 "," Rp40,000 "," Rp40,000 "," Rp40,000 "," Rp40,850 "," Rp40,850 "," Rp41,650 "," Rp42,500 "," Rp42,500 "," Rp41,650 "," Rp41,650 "," Rp41,650 "," Rp42,500 "," Rp42,500 "," Rp42,500 "," Rp42,500 "," Rp43,350 "," Rp42,500 "," Rp42,500 "," Rp41,650 "," Rp41,650 "," Rp54,150 "," Rp57,500 "," Rp61,650 "," Rp61,650 "," Rp68,350 "," Rp69,150 "," Rp69,150 "," Rp69,150 "," Rp69,150 "," Rp69,150 "," Rp62,500 "," Rp62,500 "," Rp62,500 "," Rp60,850 "," Rp56,650 "," Rp61,650 "," Rp58,350 "," Rp60,000 "," Rp60,000 "," Rp60,850 "," Rp58,350 "," Rp58,350 "," Rp58,350 "," Rp58,350 "," Rp57,500 "," Rp55,850 "," Rp55,850 "," Rp52,500 "," Rp52,500 "," Rp52,500 "," Rp52,500 "," Rp51,650 "," Rp51,650 "," Rp51,650 "," Rp51,650 "," Rp52,500 "," Rp54,150 "," Rp55,000 "," Rp55,000 "," Rp54,150 "," Rp54,150 "," Rp52,500 "," Rp52,500 "," Rp52,500 "," Rp54,150 "," Rp54,150 "," Rp53,350 "," Rp52,500 "," Rp52,500 "," Rp52,500 "," Rp52,500 "," Rp50,850 "," Rp50,850 "," Rp48,350 "," Rp48,350 "," Rp47,500 "," Rp47,500 "," Rp47,500 "," Rp47,500 "," Rp45,850 "," Rp45,850 "," Rp45,850 "," Rp45,000 "," Rp43,350 "," Rp43,350 "," Rp42,500 "," Rp40,850 "," Rp40,850 "," Rp40,850 "," Rp39,150 "," Rp39,150 "," Rp40,000 "," Rp40,000 "," Rp38,350 "," Rp37,500 "," Rp38,350 "," Rp40,000 "," Rp40,000 "," Rp39,150 "," Rp39,150 "," Rp39,150 "," Rp39,150 "," Rp37,000 "," Rp37,000 "," Rp37,000 "," Rp36,150 "," Rp36,150 "," Rp36,150 "," Rp36,150 "," Rp36,150 "," Rp35,350 "," Rp35,350 "
1,Bawang Putih Ukuran Sedang (kg)," Rp39,650 "," Rp39,650 "," Rp40,000 "," Rp40,000 "," Rp40,000 "," Rp40,850 "," Rp40,850 "," Rp41,650 "," Rp42,500 "," Rp42,500 "," Rp41,650 "," Rp41,650 "," Rp41,650 "," Rp42,500 "," Rp42,500 "," Rp42,500 "," Rp42,500 "," Rp43,350 "," Rp42,500 "," Rp42,500 "," Rp41,650 "," Rp41,650 "," Rp54,150 "," Rp57,500 "," Rp61,650 "," Rp61,650 "," Rp68,350 "," Rp69,150 "," Rp69,150 "," Rp69,150 "," Rp69,150 "," Rp69,150 "," Rp62,500 "," Rp62,500 "," Rp62,500 "," Rp60,850 "," Rp56,650 "," Rp61,650 "," Rp58,350 "," Rp60,000 "," Rp60,000 "," Rp60,850 "," Rp58,350 "," Rp58,350 "," Rp58,350 "," Rp58,350 "," Rp57,500 "," Rp55,850 "," Rp55,850 "," Rp52,500 "," Rp52,500 "," Rp52,500 "," Rp52,500 "," Rp51,650 "," Rp51,650 "," Rp51,650 "," Rp51,650 "," Rp52,500 "," Rp54,150 "," Rp55,000 "," Rp55,000 "," Rp54,150 "," Rp54,150 "," Rp52,500 "," Rp52,500 "," Rp52,500 "," Rp54,150 "," Rp54,150 "," Rp53,350 "," Rp52,500 "," Rp52,500 "," Rp52,500 "," Rp52,500 "," Rp50,850 "," Rp50,850 "," Rp48,350 "," Rp48,350 "," Rp47,500 "," Rp47,500 "," Rp47,500 "," Rp47,500 "," Rp45,850 "," Rp45,850 "," Rp45,850 "," Rp45,000 "," Rp43,350 "," Rp43,350 "," Rp42,500 "," Rp40,850 "," Rp40,850 "," Rp40,850 "," Rp39,150 "," Rp39,150 "," Rp40,000 "," Rp40,000 "," Rp38,350 "," Rp37,500 "," Rp38,350 "," Rp40,000 "," Rp40,000 "," Rp39,150 "," Rp39,150 "," Rp39,150 "," Rp39,150 "," Rp37,000 "," Rp37,000 "," Rp37,000 "," Rp36,150 "," Rp36,150 "," Rp36,150 "," Rp36,150 "," Rp36,150 "," Rp35,350 "," Rp35,350 "
VII,Cabai Merah," Rp45,850 "," Rp49,150 "," Rp70,000 "," Rp70,400 "," Rp71,250 "," Rp70,850 "," Rp70,850 "," Rp77,500 "," Rp77,500 "," Rp80,000 "," Rp82,500 "," Rp85,000 "," Rp77,900 "," Rp78,750 "," Rp77,900 "," Rp83,350 "," Rp87,500 "," Rp86,650 "," Rp83,350 "," Rp81,650 "," Rp83,350 "," Rp83,350 "," Rp85,000 "," Rp86,650 "," Rp86,650 "," Rp86,650 "," Rp86,650 "," Rp77,100 "," Rp76,650 "," Rp76,650 "," Rp75,850 "," Rp74,150 "," Rp72,500 "," Rp72,500 "," Rp72,500 "," Rp73,350 "," Rp70,850 "," Rp75,850 "," Rp75,850 "," Rp75,850 "," Rp69,150 "," Rp64,150 "," Rp62,900 "," Rp62,900 "," Rp62,900 "," Rp62,900 "," Rp60,850 "," Rp65,000 "," Rp65,850 "," Rp64,150 "," Rp64,150 "," Rp59,600 "," Rp54,150 "," Rp54,150 "," Rp54,150 "," Rp53,750 "," Rp53,750 "," Rp48,750 "," Rp48,750 "," Rp50,400 "," Rp51,250 "," Rp42,500 "," Rp42,500 "," Rp41,250 "," Rp38,750 "," Rp38,750 "," Rp39,600 "," Rp39,600 "," Rp41,250 "," Rp39,600 "," Rp39,600 "," Rp39,600 "," Rp38,750 "," Rp37,900 "," Rp34,600 "," Rp33,750 "," Rp33,750 "," Rp34,600 "," Rp33,750 "," Rp34,600 "," Rp34,600 "," Rp34,600 "," Rp34,600 "," Rp34,600 "," Rp34,600 "," Rp33,350 "," Rp33,350 "," Rp32,500 "," Rp30,400 "," Rp30,400 "," Rp30,400 "," Rp30,400 "," Rp30,850 "," Rp30,850 "," Rp32,900 "," Rp36,650 "," Rp37,100 "," Rp35,850 "," Rp35,850 "," Rp33,350 "," Rp32,900 "," Rp32,900 "," Rp32,900 "," Rp32,900 "," Rp29,150 "," Rp29,150 "," Rp29,150 "," Rp28,750 "," Rp28,750 "," Rp27,900 "," Rp27,500 "," Rp27,500 "," Rp27,100 "," Rp27,100 "
